x,y,name,type
2.22905612613,20.4978989972,IGNITE-5386,Task
25.0887016092,19.4329328497,IMPALA-5413,Bug
-53.0126948073,51.3927803097,SLING-6925,Improvement
-8.98041302294,10.8089030808,PDFBOX-3816,Bug
36.1245403293,-16.0908629742,DRILL-5560,Bug
-19.6765977605,-13.9282600779,LOG4J2-1928,Bug
19.1242196554,12.3489118014,GEODE-3020,New Feature
-5.74746769212,52.4775877971,GEODE-3021,Bug
22.2176947732,-15.2625332959,INFRA-14266,Task
64.9785416178,61.7741124766,JCRVLT-178,Sub-task
24.3913148104,38.7502802008,ATLAS-1853,Sub-task
15.6443800177,-27.3615529349,PIG-5250,Improvement
1.33373454685,64.7301327316,HBASE-18142,Bug
-59.0319972031,27.0747684093,GEODE-3019,Task
-5.41588800956,6.17044094168,FLINK-6800,Bug
66.1341229662,11.7185689283,CAMEL-11374,Improvement
55.3156889622,-16.697275643,IGNITE-5368,Improvement
25.8050574758,14.2255771097,FLINK-6791,Bug
-28.3328630936,36.972738074,AIRFLOW-1261,Bug
2.15857372664,21.6882063507,JCRVLT-180,Sub-task
-53.1805463478,17.6904672316,LUCENE-7859,Bug
33.8881050293,40.2303387379,FLINK-6802,Improvement
9.65025090931,-75.4124987032,HIVE-16805,Improvement
17.0070218681,52.3182816195,WHIMSY-95,Bug
49.7919504613,30.3990408948,IGNITE-5376,Task
-20.2594338099,8.25889738186,INFRA-14263,Bug
4.90512527801,5.28050453131,CXF-7390,Bug
77.077080762,-42.8571343038,AIRFLOW-1259,Bug
-21.2003652971,-8.98337698668,HAWQ-1479,Improvement
25.8628391778,74.6984077721,TOBAGO-1744,Bug
5.15733618029,26.0643802925,CALCITE-1820,Bug
-61.3849761144,59.5737647421,HDFS-11910,Sub-task
51.7230345779,38.7143748189,IGNITE-5367,Bug
-30.6372028634,71.909063876,BEAM-2396,Sub-task
10.4011052674,-8.7164230841,HIVE-16808,Bug
-39.3840613875,9.19898682245,AURORA-1930,Bug
4.56051995284,31.4992240488,SPARK-20947,Bug
18.0447826033,11.684204687,SPARK-20943,Improvement
16.7641120771,0.0830435105355,ARIA-275,Story
20.0618821394,7.74079535364,IGNITE-5378,Task
-45.2340207417,5.56730247162,LUCENE-7861,Bug
-3.70633379433,9.95301647655,HIVE-16811,Improvement
23.2384152649,-21.6797107185,FLINK-6794,Improvement
42.1257499181,18.9930103041,MNEMONIC-276,Improvement
-26.8439634299,50.5460722756,IGNITE-5380,Task
-95.4567736163,36.323524747,AMBARI-21170,Bug
16.3352527846,41.4889502287,QPID-7805,Improvement
31.9263299029,30.3792307372,SLING-6932,Improvement
-12.726382214,4.04333576984,HBASE-18145,Bug
-19.8477865346,-2.67809812051,KAFKA-5365,Sub-task
-29.7730789705,15.4572289138,KARAF-5174,Bug
-25.8490818051,13.0519850987,USERGRID-1344,Improvement
-19.9909744668,25.4289068022,PHOENIX-3905,Improvement
-18.0079187237,42.0371024733,DELTASPIKE-1258,Improvement
-23.9091046382,3.59345188183,QPID-7807,Improvement
-34.0532280756,-7.6358843806,PROTON-1495,Bug
1.96469780831,58.4659587316,SLING-6928,Sub-task
-7.78123622642,69.9377700078,ARTEMIS-1199,Bug
-58.5600910266,4.68245840371,MNEMONIC-275,Improvement
40.3271738121,52.1570696481,CAMEL-11377,Improvement
-54.8769604234,41.5556856296,AIRAVATA-2425,Bug
-32.7333762807,7.73552409615,MEECROWAVE-31,New Feature
23.1438705301,53.7768761894,SPOT-172,Bug
-53.3431570102,3.34727578882,JCR-4140,Task
-95.5563817692,39.2613249005,SPARK-20949,Question
13.3623104273,24.1316995137,TAMAYA-272,Improvement
18.7503359047,-44.8478631724,MESOS-7601,Bug
27.7609562217,-19.8032002648,BOOKKEEPER-1082,Bug
-40.1355276314,-40.8319257572,OOZIE-2926,Task
50.5280354954,-36.0893816242,SYSTEMML-1656,Bug
-6.15267735605,-40.0681815433,SPARK-20945,Bug
16.9165935591,16.0087195699,SLING-6926,Task
32.6347742522,10.7656313264,MESOS-7602,Epic
-11.948559462,-1.20726192407,TOMEE-2043,Bug
-22.0925680913,-34.7380344519,MASSEMBLY-856,Improvement
-35.7990854265,32.8010548068,ZEPPELIN-2607,Bug
11.6517826334,13.2692001034,FLINK-6801,Bug
4.72441118953,21.5777269739,SPOT-169,Bug
112.27931905,-9.72691388111,ARROW-1081,Bug
24.6073008457,44.8647616633,FLINK-6796,Improvement
-68.4151087467,-29.7098187057,AMQ-6693,Bug
6.59325451791,17.1331629874,FLINK-6798,Sub-task
-65.7946127943,-7.62378728779,IGNITE-5383,Task
-62.2007401023,10.6807973539,IMPALA-5416,Bug
0.608757671337,26.258188239,GROOVY-8216,Bug
1.05913651527,-6.28978305891,OAK-6292,Bug
-29.175586442,44.3934482448,SPARK-20956,Request
-36.3515641304,72.6467635417,KAFKA-5361,Bug
20.8369665326,68.7243031152,SPARK-20952,Bug
-37.4689528199,20.9261836687,IMPALA-5419,Bug
-44.4049861373,22.0243679972,BEAM-2400,Bug
15.7378936359,-15.4042427825,CAMEL-11376,Improvement
-8.46366765402,42.4076921186,FLUME-3101,Bug
25.7201050573,60.6038709737,CARBONDATA-1117,Sub-task
-62.1110800693,-23.8610070116,BEAM-2398,Bug
-59.086990493,14.5983142662,MEECROWAVE-32,Task
-16.2538028011,77.5820242105,NIFI-4001,Improvement
-74.7367876162,-36.8703992455,NIFI-4006,New Feature
-48.447619106,68.820183123,MESOS-7599,Bug
-31.3467648105,-24.6296609267,JCR-4138,Bug
-43.2526836782,-11.9193128729,AMBARI-21173,Bug
21.977513879,2.72496622635,RANGER-1626,Task
-50.1995443572,-33.7675762615,TC-363,Bug
40.1733297509,1.99034900337,MESOS-7600,Bug
16.4399365212,-11.2750380085,TOMEE-2044,Bug
103.367367267,45.1488560901,ACCUMULO-4645,Task
-60.247202241,-10.2107277165,HIVE-16803,Bug
-64.4450516948,-8.94268498476,INFRA-14262,Bug
-27.6519658556,-65.7628478579,CALCITE-1823,Bug
19.5711285538,-79.0425438605,HBASE-18141,Bug
-16.2195906981,-57.8237406254,BOOKKEEPER-1083,Improvement
